,display,id,position,salary,news_status,team_abbreviation,projections,min_exp,max_exp
0,Diana Taurasi,15296250,PG/SG,15000,Recent,PHO,71.459568701899,0,0.4
1,DeWanna Bonner,15296251,PG/SG,14700,Recent,CON,45.67038694659244,0,0.4
2,Alyssa Thomas,15296252,SF/PF,14400,Recent,CON,63.60713134945908,0,0.4
3,Brittney Griner,15296253,SF/PF,14100,None,PHO,89.34717499804316,0,0.4
4,Brianna Turner,15296254,SF/PF,13800,Recent,PHO,67.23655309798303,0,0.4
5,Skylar Diggins-Smith,15296255,PG/SG,13200,Recent,PHO,68.57980999217001,0,0.4
6,Brionna Jones,15296256,SF/PF,11700,Recent,CON,67.70299205697208,0,0.4
7,Jasmine Thomas,15296257,PG/SG,11100,Recent,CON,62.89627550549647,0,0.4
8,Kia Vaughn,15296258,SF/PF,10500,Recent,PHO,66.06128582998453,0,0.4
9,Alanna Smith,15296259,SF/PF,9600,None,PHO,49.14166939064414,0,0.4
10,Shatori Walker-Kimbrough,15296260,PG/SG,9000,Breaking,PHO,56.41501213924265,0,0.4
11,Briann January,15296261,PG/SG,8700,Recent,CON,40.71684529194343,0,0.4
12,Beatrice Mompremier,15296262,SF/PF,7200,Breaking,CON,31.980696891465485,0,0.4
13,Kaila Charles,15296263,PG/SG,6900,Breaking,CON,38.19526074836679,0,0.4
14,Shey Peddy,15296264,PG/SG,6600,Breaking,PHO,35.062132331781775,0,0.4
15,Bria Holmes,15296265,PG/SG,6300,Breaking,CON,16.03821358906428,0,0.4
16,Nia Coffey,15296266,SF/PF,6000,Recent,PHO,33.84740494880828,0,0.4
17,Natisha Hiedeman,15296267,PG/SG,5400,Breaking,CON,20.119485994347553,0,0.4
18,Essence Carson,15296268,PG/SG,5100,Recent,CON,28.293877239846054,0,0.4
19,Sophie Cunningham,15296269,PG/SG,4800,Recent,PHO,22.14760473625819,0,0.4
20,Theresa Plaisance,15296270,SF/PF,4500,None,CON,26.020473555156737,0,0.4
21,Kaleena Mosqueda-Lewis,15296271,SF/PF,2700,Breaking,CON,11.787905151385257,0,0.4
22,Bria Hartley,15296272,PG/SG,1500,Breaking,PHO,6.523337450738034,0,0.4
23,Jessica Breland,15296273,SF/PF,1500,None,PHO,9.134658917859444,0,0.4
