,display,id,position,salary,news_status,team_abbreviation,start time,projections,min_exp,max_exp
0,LeBron James,15320065,PG/SF,19200,Recent,LAL,2020-09-10T23:00:00.0000000Z,106.76145673667062,0,0.4
1,James Harden,15320066,PG/SG,18600,Recent,HOU,2020-09-10T23:00:00.0000000Z,54.206259740586134,0,0.4
2,Anthony Davis,15320067,PF/C,17400,Recent,LAL,2020-09-10T23:00:00.0000000Z,75.4814808476363,0,0.4
3,Russell Westbrook,15320068,PG,15000,Recent,HOU,2020-09-10T23:00:00.0000000Z,69.25490377413807,0,0.4
4,Robert Covington,15320069,SF/PF,11100,Recent,HOU,2020-09-10T23:00:00.0000000Z,47.55855065598755,0,0.4
5,Eric Gordon,15320070,SG/SF,10200,Recent,HOU,2020-09-10T23:00:00.0000000Z,73.55031249656408,0,0.4
6,P.J. Tucker,15320071,C,8700,Breaking,HOU,2020-09-10T23:00:00.0000000Z,60.761635377111446,0,0.4
7,Kyle Kuzma,15320072,SF/PF,8100,Recent,LAL,2020-09-10T23:00:00.0000000Z,46.425594542537326,0,0.4
8,Rajon Rondo,15320073,PG,7800,Recent,LAL,2020-09-10T23:00:00.0000000Z,32.34134402821002,0,0.4
9,Danuel House Jr.,15320074,SF/PF,7500,Recent,HOU,2020-09-10T23:00:00.0000000Z,52.74802058314151,0,0.4
10,Danny Green,15320075,SG/SF,7200,None,LAL,2020-09-10T23:00:00.0000000Z,35.77754687779634,0,0.4
11,Jeff Green,15320076,C,6900,None,HOU,2020-09-10T23:00:00.0000000Z,49.3759920221353,0,0.4
12,Alex Caruso,15320077,PG/SG,6000,None,LAL,2020-09-10T23:00:00.0000000Z,32.66818985355266,0,0.4
13,Dwight Howard,15320078,C,5700,None,LAL,2020-09-10T23:00:00.0000000Z,27.943118454720338,0,0.4
14,Kentavious Caldwell-Pope,15320079,SG/SF,5400,None,LAL,2020-09-10T23:00:00.0000000Z,34.49451228581189,0,0.4
15,Markieff Morris,15320080,PF/C,4800,None,LAL,2020-09-10T23:00:00.0000000Z,27.925525300954885,0,0.4
16,Talen Horton-Tucker,15320081,SG,3900,None,LAL,2020-09-10T23:00:00.0000000Z,20.54386423040507,0,0.4
17,JaVale McGee,15320082,C,3600,Recent,LAL,2020-09-10T23:00:00.0000000Z,14.270075822306653,0,0.4
18,Austin Rivers,15320083,PG/SG,3300,None,HOU,2020-09-10T23:00:00.0000000Z,15.410940534735833,0,0.4
19,J.R. Smith,15320084,SG/SF,3000,None,LAL,2020-09-10T23:00:00.0000000Z,14.206134168559617,0,0.4
20,Devontae Cacok,15320085,PF,2400,None,LAL,2020-09-10T23:00:00.0000000Z,13.437239814935932,0,0.4
21,David Nwaba,15320086,SG,2100,None,HOU,2020-09-10T23:00:00.0000000Z,9.782345556008236,0,0.4
22,Ben McLemore,15320087,SG/SF,1500,None,HOU,2020-09-10T23:00:00.0000000Z,7.304171624493894,0,0.4
23,DeMarre Carroll,15320088,PF/C,1500,None,HOU,2020-09-10T23:00:00.0000000Z,8.049477243271731,0,0.4
24,Dion Waiters,15320089,SG/SF,1500,Recent,LAL,2020-09-10T23:00:00.0000000Z,6.81338118576657,0,0.4
25,Kostas Antetokounmpo,15320090,PF,1500,None,LAL,2020-09-10T23:00:00.0000000Z,8.75941476660336,0,0.4
26,Quinn Cook,15320091,PG,1500,None,LAL,2020-09-10T23:00:00.0000000Z,7.250915165522174,0,0.4
27,Tyson Chandler,15320092,C,1500,None,HOU,2020-09-10T23:00:00.0000000Z,7.643601004529256,0,0.4
28,Jared Dudley,15320093,PF,1500,None,LAL,2020-09-10T23:00:00.0000000Z,6.478599516548471,0,0.4
29,Bruno Caboclo,15320094,C,1500,None,HOU,2020-09-10T23:00:00.0000000Z,5.707552330804738,0,0.4
30,Luc Richard Mbah a Moute,15320095,PF,1500,Breaking,HOU,2020-09-10T23:00:00.0000000Z,6.613330650739842,0,0.4
31,Chris Clemons,15320096,PG,1500,None,HOU,2020-09-10T23:00:00.0000000Z,6.453533330687651,0,0.4
32,Avery Bradley,15320097,PG,1500,None,LAL,2020-09-10T23:00:00.0000000Z,8.918910655893452,0,0.4
33,Michael Frazier,15320098,PG/SG,1500,None,HOU,2020-09-10T23:00:00.0000000Z,8.816980251365539,0,0.4
34,William Howard,15320099,SF,1500,None,HOU,2020-09-10T23:00:00.0000000Z,9.499253233087433,0,0.4
35,Thabo Sefolosha,15320100,PF,1500,None,HOU,2020-09-10T23:00:00.0000000Z,7.649395432306761,0,0.4
