,display,id,position,salary,news_status,team_abbreviation,start time,projections,std,min_exp,max_exp
0,Jayson Tatum,15418870,SF/PF,15600,Recent,BOS,2020-09-17T23:00:00.0000000Z,88.42972072205998,39.40206578725231,0,0.4
1,Jimmy Butler,15418871,SG/SF,13800,None,MIA,2020-09-17T23:00:00.0000000Z,70.69354030034529,27.30080976919016,0,0.4
2,Bam Adebayo,15418872,C,13200,None,MIA,2020-09-17T23:00:00.0000000Z,68.99525403088917,33.74598637839528,0,0.4
3,Jaylen Brown,15418873,SG/SF,12900,Breaking,BOS,2020-09-17T23:00:00.0000000Z,90.44003035898163,22.28978534504317,0,0.4
4,Kemba Walker,15418874,PG,12300,Recent,BOS,2020-09-17T23:00:00.0000000Z,48.20151450180548,25.076042621132167,0,0.4
5,Goran Dragic,15418875,PG,11700,None,MIA,2020-09-17T23:00:00.0000000Z,73.42245396310717,19.81800469711015,0,0.4
6,Marcus Smart,15418876,PG/SG,11400,Recent,BOS,2020-09-17T23:00:00.0000000Z,31.986566086720327,23.127039442093835,0,0.4
7,Gordon Hayward,15418877,SF/PF,11100,Recent,BOS,2020-09-17T23:00:00.0000000Z,78.06889402656716,15.284116472198148,0,0.4
8,Tyler Herro,15418878,SG,10500,None,MIA,2020-09-17T23:00:00.0000000Z,70.51753412567642,23.7394075204171,0,0.4
9,Jae Crowder,15418879,PF,10200,None,MIA,2020-09-17T23:00:00.0000000Z,50.35251360765514,20.261042318719724,0,0.4
10,Daniel Theis,15418880,PF/C,9900,None,BOS,2020-09-17T23:00:00.0000000Z,29.49441846607436,21.580819486012174,0,0.4
11,Duncan Robinson,15418881,SG/SF,7200,None,MIA,2020-09-17T23:00:00.0000000Z,49.992042459570484,14.79130404138958,0,0.4
12,Kelly Olynyk,15418882,PF/C,6000,None,MIA,2020-09-17T23:00:00.0000000Z,35.63711994939816,8.684266977130367,0,0.4
13,Andre Iguodala,15418883,SF,5700,None,MIA,2020-09-17T23:00:00.0000000Z,36.96187940701686,15.64386085660901,0,0.4
14,Brad Wanamaker,15418884,PG,4200,Recent,BOS,2020-09-17T23:00:00.0000000Z,29.611981118739866,8.383362781094633,0,0.4
15,Robert Williams,15418885,C,3900,Breaking,BOS,2020-09-17T23:00:00.0000000Z,15.613273646903055,7.0747185011352025,0,0.4
16,Solomon Hill,15418886,SF/PF,3600,None,MIA,2020-09-17T23:00:00.0000000Z,18.147063013289905,8.626919970569299,0,0.4
17,Chris Silva,15418887,C,3300,Recent,MIA,2020-09-17T23:00:00.0000000Z,14.543117975257076,5.852895637106676,0,0.4
18,Kendrick Nunn,15418888,PG/SG,3000,None,MIA,2020-09-17T23:00:00.0000000Z,20.742510747295032,4.764205911611952,0,0.4
19,Grant Williams,15418889,SF/PF,2700,Breaking,BOS,2020-09-17T23:00:00.0000000Z,14.519573945935084,5.3208635416249646,0,0.4
20,Udonis Haslem,15418890,C,2400,None,MIA,2020-09-17T23:00:00.0000000Z,14.008537363356638,4.306172601822066,0,0.4
21,Enes Kanter,15418891,C,1500,None,BOS,2020-09-17T23:00:00.0000000Z,8.12899641788151,2.998676141813782,0,0.4
22,Derrick Jones Jr.,15418892,SF/PF,1500,None,MIA,2020-09-17T23:00:00.0000000Z,6.491303984480116,2.5588320908738234,0,0.4
23,Semi Ojeleye,15418893,PF,1500,None,BOS,2020-09-17T23:00:00.0000000Z,9.03779063428914,2.9491867975707446,0,0.4
24,Meyers Leonard,15418894,PF/C,1500,None,MIA,2020-09-17T23:00:00.0000000Z,8.211343395603373,1.8213994983660522,0,0.4
25,Romeo Langford,15418895,SG/SF,1500,None,BOS,2020-09-17T23:00:00.0000000Z,7.183051285465671,1.929413475601115,0,0.4
26,KZ Okpala,15418896,SF,1500,None,MIA,2020-09-17T23:00:00.0000000Z,4.495453774634177,3.697194350213899,0,0.4
27,Tremont Waters,15418897,PG,1500,None,BOS,2020-09-17T23:00:00.0000000Z,8.068161855360286,2.368924472046081,0,0.4
28,Javonte Green,15418898,PG/SG,1500,Recent,BOS,2020-09-17T23:00:00.0000000Z,5.762338311393454,1.5373673697474826,0,0.4
29,Carsen Edwards,15418899,SG,1500,None,BOS,2020-09-17T23:00:00.0000000Z,9.610089440375372,4.12333934110142,0,0.4
30,Tacko Fall,15418900,C,1500,None,BOS,2020-09-17T23:00:00.0000000Z,6.557817611005151,2.340141963891584,0,0.4
31,Kyle Alexander,15418901,C,1500,None,MIA,2020-09-17T23:00:00.0000000Z,7.191264278231222,3.180220984968872,0,0.4
32,Vincent Poirier,15418902,C,1500,Recent,BOS,2020-09-17T23:00:00.0000000Z,7.992760948122312,3.7269362770902816,0,0.4
33,Gabe Vincent,15418903,PG,1500,None,MIA,2020-09-17T23:00:00.0000000Z,7.308955029803057,3.100506645111954,0,0.4
