,Name,ID,Position,Salary,Status,TeamAbbrev,Time,projections,std,min_exp,max_exp
0,LeBron James,15555601,PG/SF,19500,Recent,LAL,2020-10-04T23:30:00.0000000Z,102.13802772602934,4.589593890611736,0,0.4
1,Anthony Davis,15555602,PF/C,18300,Recent,LAL,2020-10-04T23:30:00.0000000Z,76.9928191312746,38.69917115838629,0,0.4
2,Jimmy Butler,15555603,SG/SF,14700,Recent,MIA,2020-10-04T23:30:00.0000000Z,69.35001760916434,14.30888190827033,0,0.4
3,Bam Adebayo,15555604,C,14400,Recent,MIA,2020-10-04T23:30:00.0000000Z,59.19906574272882,45.01522787212174,0,0.4
4,LeBron James,15555566,PG/SF,13000,Recent,LAL,2020-10-04T23:30:00.0000000Z,62.812385032140476,26.567880740988606,0,0.4
5,Tyler Herro,15555605,SG,12600,Recent,MIA,2020-10-04T23:30:00.0000000Z,58.98995812661348,33.34656201688854,0,0.4
6,Anthony Davis,15555567,PF/C,12200,Recent,LAL,2020-10-04T23:30:00.0000000Z,100.15068574242746,30.265939163506584,0,0.4
7,Goran Dragic,15555606,PG,11400,Recent,MIA,2020-10-04T23:30:00.0000000Z,58.22379865190847,21.92803094280562,0,0.4
8,Rajon Rondo,15555607,PG,10500,Recent,LAL,2020-10-04T23:30:00.0000000Z,54.59842869411429,20.70084864958531,0,0.4
9,Jae Crowder,15555608,PF,9900,None,MIA,2020-10-04T23:30:00.0000000Z,42.94999315098327,22.336679501494423,0,0.4
10,Jimmy Butler,15555568,SG/SF,9800,Recent,MIA,2020-10-04T23:30:00.0000000Z,51.4027374267381,14.068158757527463,0,0.4
11,Bam Adebayo,15555569,C,9600,Recent,MIA,2020-10-04T23:30:00.0000000Z,54.437678849729934,20.264619790576464,0,0.4
12,Tyler Herro,15555570,SG,8400,Recent,MIA,2020-10-04T23:30:00.0000000Z,29.614928614597435,17.059474349959366,0,0.4
13,Duncan Robinson,15555609,SG/SF,7800,None,MIA,2020-10-04T23:30:00.0000000Z,45.08281752655797,13.912999598321829,0,0.4
14,Goran Dragic,15555571,PG,7600,Recent,MIA,2020-10-04T23:30:00.0000000Z,41.17670487604345,14.656405290171715,0,0.4
15,Rajon Rondo,15555572,PG,7000,Recent,LAL,2020-10-04T23:30:00.0000000Z,37.55176718417875,14.781804875273327,0,0.4
16,Kentavious Caldwell-Pope,15555610,SG/SF,6900,None,LAL,2020-10-04T23:30:00.0000000Z,37.362653807872,17.62528687219618,0,0.4
17,Jae Crowder,15555573,PF,6600,None,MIA,2020-10-04T23:30:00.0000000Z,35.46206739569392,15.105936548126289,0,0.4
18,Kendrick Nunn,15555611,PG/SG,6600,Breaking,MIA,2020-10-04T23:30:00.0000000Z,24.15852063380897,15.075857615570838,0,0.4
19,Kyle Kuzma,15555612,SF/PF,6000,None,LAL,2020-10-04T23:30:00.0000000Z,33.69560027636241,14.541341857252473,0,0.4
20,Danny Green,15555613,SG/SF,5700,Recent,LAL,2020-10-04T23:30:00.0000000Z,26.404741056743493,15.305652457607115,0,0.4
21,Dwight Howard,15555614,C,5400,None,LAL,2020-10-04T23:30:00.0000000Z,26.273569449454076,9.367178528065182,0,0.4
22,Duncan Robinson,15555574,SG/SF,5200,None,MIA,2020-10-04T23:30:00.0000000Z,25.852390345436262,15.35252303752342,0,0.4
23,Alex Caruso,15555615,PG/SG,5100,None,LAL,2020-10-04T23:30:00.0000000Z,20.804603490644894,10.845991963583126,0,0.4
24,Kelly Olynyk,15555616,PF/C,4800,None,MIA,2020-10-04T23:30:00.0000000Z,22.801276914945657,6.597908290806712,0,0.4
25,Kentavious Caldwell-Pope,15555575,SG/SF,4600,None,LAL,2020-10-04T23:30:00.0000000Z,30.93469897189098,8.125704276798588,0,0.4
26,Andre Iguodala,15555617,SF,4500,Breaking,MIA,2020-10-04T23:30:00.0000000Z,29.40561158026873,9.38822640773153,0,0.4
27,Kendrick Nunn,15555576,PG/SG,4400,Breaking,MIA,2020-10-04T23:30:00.0000000Z,20.897920047557772,10.48139135066981,0,0.4
28,Markieff Morris,15555618,PF/C,4200,None,LAL,2020-10-04T23:30:00.0000000Z,20.06180302478999,7.036315386416744,0,0.4
